state,maximum_temperature,year,id_state
GUANAJUATO,27.73711835187791,2006,12
GUERRERO,32.94726006377713,2006,13
HIDALGO,25.081188219212493,2006,14
JALISCO,29.100179916729726,2006,15
MICHOACÁN,28.81447140824717,2006,16
MORELOS,29.431561846466803,2006,17
NAYARIT,34.090477407578845,2006,18
NUEVO LEÓN,29.889974401948425,2006,19
OAXACA,31.53578655519071,2006,20
PUEBLA,25.197750876316494,2006,21
QUERÉTARO,26.803811502325846,2006,22
QUINTANA ROO,31.921326237983738,2006,23
SAN LUIS POTOSÍ,30.3901749550139,2006,24
SINALOA,33.885427458749795,2006,25
SONORA,31.197487803467144,2006,26
TABASCO,32.195614830349506,2006,27
TAMAULIPAS,31.158331457713658,2006,28
TLAXCALA,23.461780479823133,2006,29
VERACRUZ,28.97107842236097,2006,30
YUCATÁN,32.856450606782545,2006,31
ZACATECAS,26.000312393364165,2006,32
AGUASCALIENTES,26.908185322809,2007,1
BAJA CALIFORNIA,26.691932868888255,2007,2
BAJA CALIFORNIA SUR,29.98896205270441,2007,3
CAMPECHE,32.76431455075029,2007,4
CHIAPAS,31.685490423732798,2007,5
CHIHUAHUA,27.100077176278138,2007,6
CIUDAD DE MÉXICO,23.857412342118298,2007,7
COAHUILA,28.129819404352855,2007,8
COLIMA,33.22296936454039,2007,9
DURANGO,26.72110173577963,2007,10
ESTADO DE MÉXICO,22.3848019437164,2007,11
GUANAJUATO,27.331605579046947,2007,12
GUERRERO,33.362260552162894,2007,13
HIDALGO,25.311619141700135,2007,14
JALISCO,28.826068156350235,2007,15
MICHOACÁN,28.449835116804206,2007,16
MORELOS,30.24211792150608,2007,17
NAYARIT,34.166567784880286,2007,18
NUEVO LEÓN,28.398259652213486,2007,19
OAXACA,31.494114822524438,2007,20
PUEBLA,25.4977745139503,2007,21
QUERÉTARO,26.177257666565044,2007,22
QUINTANA ROO,31.855939331088518,2007,23
SAN LUIS POTOSÍ,29.550447527473505,2007,24
SINALOA,33.04507242822187,2007,25
SONORA,30.903050543859873,2007,26
TABASCO,32.05067421248288,2007,27
TAMAULIPAS,29.801612615542343,2007,28
TLAXCALA,23.78216921511537,2007,29
VERACRUZ,28.633347559998384,2007,30
YUCATÁN,32.71416659171445,2007,31
ZACATECAS,25.78200929201741,2007,32
AGUASCALIENTES,26.742280029893532,2008,1
BAJA CALIFORNIA,26.73146286389237,2008,2
BAJA CALIFORNIA SUR,30.328413420854982,2008,3
CAMPECHE,32.77316507906877,2008,4
CHIAPAS,30.58166440745109,2008,5
CHIHUAHUA,26.744847214216847,2008,6
CIUDAD DE MÉXICO,23.650641692697633,2008,7
COAHUILA,29.305061316724863,2008,8
COLIMA,32.376360186894765,2008,9
DURANGO,26.47556255424496,2008,10
ESTADO DE MÉXICO,22.30769844866445,2008,11
GUANAJUATO,28.714386477522183,2008,12
GUERRERO,30.71732053040418,2008,13
HIDALGO,24.899711920735538,2008,14
JALISCO,28.99892151764575,2008,15
MICHOACÁN,28.127610189871536,2008,16
MORELOS,29.42234961522145,2008,17
NAYARIT,33.43260594330482,2008,18
NUEVO LEÓN,29.4151845075698,2008,19
OAXACA,29.8264461886916,2008,20
PUEBLA,24.630345013478486,2008,21
QUERÉTARO,25.95887830056611,2008,22
QUINTANA ROO,31.608155250300516,2008,23
SAN LUIS POTOSÍ,29.41449328891127,2008,24
SINALOA,32.65343999948263,2008,25
SONORA,30.832863625556033,2008,26
