state,precipitation,year,id_state
OAXACA,1002.4000000000001,2015,20
PUEBLA,1185.06,2015,21
QUERÉTARO,756.6099999999999,2015,22
QUINTANA ROO,1495.54,2015,23
SAN LUIS POTOSÍ,794.07,2015,24
SINALOA,1048.5600000000002,2015,25
SONORA,643.48,2015,26
TABASCO,2426.29,2015,27
TAMAULIPAS,891.6899999999999,2015,28
TLAXCALA,800.05,2015,29
VERACRUZ,1488.91,2015,30
YUCATÁN,978.4000000000001,2015,31
ZACATECAS,741.5699999999999,2015,32
AGUASCALIENTES,574.89,2016,1
BAJA CALIFORNIA,218.97,2016,2
BAJA CALIFORNIA SUR,200.02,2016,3
CAMPECHE,1176.97,2016,4
CHIAPAS,1614.24,2016,5
CHIHUAHUA,512.4799999999999,2016,6
CIUDAD DE MÉXICO,655.8499999999999,2016,7
COAHUILA,554.8399999999999,2016,8
COLIMA,1333.19,2016,9
DURANGO,509.7699999999999,2016,10
ESTADO DE MÉXICO,914.9699999999999,2016,11
GUANAJUATO,691.29,2016,12
GUERRERO,985.5299999999999,2016,13
HIDALGO,694.2600000000001,2016,14
JALISCO,926.2400000000002,2016,15
MICHOACÁN,721.98,2016,16
MORELOS,1781.63,2016,17
NAYARIT,1224.35,2016,18
NUEVO LEÓN,612.2099999999999,2016,19
OAXACA,993.22,2016,20
PUEBLA,1195.8300000000002,2016,21
QUERÉTARO,749.83,2016,22
QUINTANA ROO,1109.3100000000004,2016,23
SAN LUIS POTOSÍ,685.0800000000002,2016,24
SINALOA,730.4099999999999,2016,25
SONORA,424.37,2016,26
TABASCO,1749.6799999999998,2016,27
TAMAULIPAS,746.7299999999999,2016,28
TLAXCALA,750.85,2016,29
VERACRUZ,1533.8199999999997,2016,30
YUCATÁN,885.1800000000001,2016,31
ZACATECAS,510.15999999999997,2016,32
AGUASCALIENTES,579.41,2017,1
BAJA CALIFORNIA,131.73000000000002,2017,2
BAJA CALIFORNIA SUR,174.73999999999998,2017,3
CAMPECHE,1407.3,2017,4
CHIAPAS,1993.9799999999998,2017,5
CHIHUAHUA,453.82000000000005,2017,6
CIUDAD DE MÉXICO,487.99,2017,7
COAHUILA,358.54,2017,8
COLIMA,1728.8200000000002,2017,9
DURANGO,454.63,2017,10
ESTADO DE MÉXICO,865.3599999999999,2017,11
GUANAJUATO,611.5099999999999,2017,12
GUERRERO,1161.1100000000001,2017,13
HIDALGO,653.2399999999999,2017,14
JALISCO,946.12,2017,15
MICHOACÁN,792.7499999999999,2017,16
MORELOS,1949.5100000000002,2017,17
NAYARIT,1228.27,2017,18
NUEVO LEÓN,569.98,2017,19
OAXACA,1440.8299999999997,2017,20
PUEBLA,1402.29,2017,21
QUERÉTARO,592.6899999999998,2017,22
QUINTANA ROO,1406.8,2017,23
SAN LUIS POTOSÍ,617.65,2017,24
SINALOA,698.78,2017,25
SONORA,450.60000000000014,2017,26
TABASCO,2013.8100000000002,2017,27
TAMAULIPAS,666.6900000000002,2017,28
TLAXCALA,690.2500000000001,2017,29
VERACRUZ,1730.96,2017,30
YUCATÁN,1120.52,2017,31
ZACATECAS,467.2099999999999,2017,32
AGUASCALIENTES,768.6600000000001,2018,1
BAJA CALIFORNIA,125.31,2018,2
BAJA CALIFORNIA SUR,163.17999999999998,2018,3
CAMPECHE,1389.7900000000002,2018,4
CHIAPAS,1705.27,2018,5
CHIHUAHUA,490.75,2018,6
CIUDAD DE MÉXICO,786.1799999999998,2018,7
COAHUILA,396.77,2018,8
COLIMA,1611.6799999999998,2018,9
DURANGO,520.53,2018,10
ESTADO DE MÉXICO,1098.6999999999998,2018,11
GUANAJUATO,850.2900000000001,2018,12
GUERRERO,1159.04,2018,13
HIDALGO,574.57,2018,14
JALISCO,1075.93,2018,15
MICHOACÁN,1114.0999999999997,2018,16
MORELOS,1963.72,2018,17
NAYARIT,1356.3799999999999,2018,18
NUEVO LEÓN,585.19,2018,19
OAXACA,1217.1399999999996,2018,20
PUEBLA,1247.6499999999999,2018,21
QUERÉTARO,554.1399999999999,2018,22
QUINTANA ROO,1306.09,2018,23
SAN LUIS POTOSÍ,635.3599999999999,2018,24
SINALOA,1001.31,2018,25
SONORA,565.8900000000001,2018,26
TABASCO,1965.5,2018,27
TAMAULIPAS,677.9999999999999,2018,28
TLAXCALA,661.9499999999999,2018,29
VERACRUZ,1516.1099999999997,2018,30
YUCATÁN,998.6899999999999,2018,31
ZACATECAS,614.45,2018,32
AGUASCALIENTES,453.1,2019,1
BAJA CALIFORNIA,206.1,2019,2
BAJA CALIFORNIA SUR,270.6,2019,3
CAMPECHE,1303.2,2019,4
CHIAPAS,1767.4,2019,5
CHIHUAHUA,470.3,2019,6
CIUDAD DE MÉXICO,565.3,2019,7
COAHUILA,261.5,2019,8
COLIMA,1816.7,2019,9
DURANGO,428.8,2019,10
ESTADO DE MÉXICO,837.6,2019,11
GUANAJUATO,553.7,2019,12
GUERRERO,1102.1,2019,13
HIDALGO,438.8,2019,14
JALISCO,926.4,2019,15
MICHOACÁN,829.7,2019,16
MORELOS,1691.3,2019,17
NAYARIT,1225.3,2019,18
NUEVO LEÓN,499.2,2019,19
OAXACA,1089.4,2019,20
PUEBLA,1040.8,2019,21
QUERÉTARO,411.3,2019,22
QUINTANA ROO,1036.1,2019,23
SAN LUIS POTOSÍ,480.8,2019,24
SINALOA,928.2,2019,25
SONORA,648.7,2019,26
TABASCO,1916.0,2019,27
TAMAULIPAS,579.1,2019,28
TLAXCALA,564.2,2019,29
VERACRUZ,1107.6,2019,30
YUCATÁN,1034.2,2019,31
ZACATECAS,415.3,2019,32
