state,minimum_temperature,year,id_state
MICHOACÁN,12.661098256999862,2006,16
MORELOS,14.143580539258904,2006,17
NAYARIT,18.08086042148668,2006,18
NUEVO LEÓN,14.771132925129029,2006,19
OAXACA,19.11833721679544,2006,20
PUEBLA,10.078459813928907,2006,21
QUERÉTARO,12.0417869820575,2006,22
QUINTANA ROO,22.32399688972252,2006,23
SAN LUIS POTOSÍ,15.349267853309366,2006,24
SINALOA,17.36131272406523,2006,25
SONORA,13.803308486380745,2006,26
TABASCO,22.07314393005419,2006,27
TAMAULIPAS,18.25549068957734,2006,28
TLAXCALA,6.032596602194008,2006,29
VERACRUZ,17.981838305422638,2006,30
YUCATÁN,20.245758996632322,2006,31
ZACATECAS,8.813077351427102,2006,32
AGUASCALIENTES,8.760710640838035,2007,1
BAJA CALIFORNIA,12.708886648261043,2007,2
BAJA CALIFORNIA SUR,15.933490474817527,2007,3
CAMPECHE,20.65461768841606,2007,4
CHIAPAS,19.169910234833186,2007,5
CHIHUAHUA,9.557002054658275,2007,6
CIUDAD DE MÉXICO,10.87921112181357,2007,7
COAHUILA,14.191933730504898,2007,8
COLIMA,19.790308106736767,2007,9
DURANGO,8.780108396744039,2007,10
ESTADO DE MÉXICO,6.729689052876448,2007,11
GUANAJUATO,11.06921333326221,2007,12
GUERRERO,18.99057371177265,2007,13
HIDALGO,10.82882766761153,2007,14
JALISCO,13.678321502932526,2007,15
MICHOACÁN,12.218473849787804,2007,16
MORELOS,14.668791951407378,2007,17
NAYARIT,18.073114257775938,2007,18
NUEVO LEÓN,15.097582045989988,2007,19
OAXACA,19.490182816426387,2007,20
PUEBLA,10.378743313273118,2007,21
QUERÉTARO,11.577083098129236,2007,22
QUINTANA ROO,22.292168436949904,2007,23
SAN LUIS POTOSÍ,15.635483569011361,2007,24
SINALOA,16.83988253360662,2007,25
SONORA,13.752333791739742,2007,26
TABASCO,21.65784152020811,2007,27
TAMAULIPAS,18.09595504482129,2007,28
TLAXCALA,6.026230228853636,2007,29
VERACRUZ,17.964263543869695,2007,30
YUCATÁN,20.31830506906677,2007,31
ZACATECAS,8.134883769642279,2007,32
AGUASCALIENTES,8.323915235810416,2008,1
BAJA CALIFORNIA,12.33072834495727,2008,2
BAJA CALIFORNIA SUR,16.108419195251003,2008,3
CAMPECHE,20.182922413397517,2008,4
CHIAPAS,18.418712179570917,2008,5
CHIHUAHUA,9.242492693198045,2008,6
CIUDAD DE MÉXICO,10.577763599648696,2008,7
COAHUILA,13.771315117098496,2008,8
COLIMA,19.101010034739577,2008,9
DURANGO,8.30409155488183,2008,10
ESTADO DE MÉXICO,6.952617155951338,2008,11
GUANAJUATO,12.977607820160715,2008,12
GUERRERO,15.520471310790983,2008,13
HIDALGO,10.248349432879793,2008,14
JALISCO,12.421786116540957,2008,15
MICHOACÁN,10.773552950255107,2008,16
MORELOS,13.967754408732622,2008,17
NAYARIT,17.154305448851,2008,18
NUEVO LEÓN,14.712365406343372,2008,19
OAXACA,18.257381186072376,2008,20
PUEBLA,10.138247124675134,2008,21
QUERÉTARO,10.695256833422853,2008,22
QUINTANA ROO,22.055821778929214,2008,23
SAN LUIS POTOSÍ,14.810456147893811,2008,24
SINALOA,16.899080756661174,2008,25
SONORA,13.69285480162088,2008,26
TABASCO,21.18644890832391,2008,27
TAMAULIPAS,17.608357352792762,2008,28
TLAXCALA,5.911138682504606,2008,29
VERACRUZ,17.60981286707622,2008,30
YUCATÁN,19.992983732313238,2008,31
ZACATECAS,7.71413063874543,2008,32
AGUASCALIENTES,8.912197049321044,2009,1
BAJA CALIFORNIA,12.432190205431082,2009,2
BAJA CALIFORNIA SUR,16.871869219291096,2009,3
CAMPECHE,20.84712570323527,2009,4
CHIAPAS,18.336901232327282,2009,5
CHIHUAHUA,9.661431759699502,2009,6
CIUDAD DE MÉXICO,11.062749269917191,2009,7
COAHUILA,14.421848080309275,2009,8
COLIMA,20.032419674999787,2009,9
DURANGO,9.128118915863586,2009,10
ESTADO DE MÉXICO,7.094077443402096,2009,11
GUANAJUATO,11.19651592125083,2009,12
GUERRERO,18.649051990461455,2009,13
HIDALGO,10.840797849518339,2009,14
JALISCO,13.223309122591493,2009,15
MICHOACÁN,10.979115414851014,2009,16
MORELOS,14.227590062355631,2009,17
NAYARIT,18.26685291037774,2009,18
NUEVO LEÓN,15.108598820443191,2009,19
OAXACA,18.209422300572772,2009,20
PUEBLA,10.4271997801054,2009,21
QUERÉTARO,11.258875318443733,2009,22
QUINTANA ROO,21.980347449770274,2009,23
SAN LUIS POTOSÍ,15.503514108720134,2009,24
SINALOA,17.606768207532692,2009,25
SONORA,13.785831121374274,2009,26
TABASCO,21.47706545767575,2009,27
TAMAULIPAS,18.170684498697174,2009,28
TLAXCALA,6.012046507274941,2009,29
VERACRUZ,17.735326122894183,2009,30
YUCATÁN,20.131921306635324,2009,31
ZACATECAS,8.279733421741968,2009,32
AGUASCALIENTES,8.307155805532563,2010,1
BAJA CALIFORNIA,12.870764636537736,2010,2
BAJA CALIFORNIA SUR,15.692283954308296,2010,3
CAMPECHE,20.162834145890425,2010,4
CHIAPAS,18.2583447527287,2010,5
CHIHUAHUA,9.330227553320281,2010,6
CIUDAD DE MÉXICO,10.508673666028496,2010,7
COAHUILA,13.013964907644409,2010,8
COLIMA,18.799122294523173,2010,9
DURANGO,7.939499656143884,2010,10
ESTADO DE MÉXICO,6.473272161624043,2010,11
GUANAJUATO,10.61700355129589,2010,12
GUERRERO,17.825498966055353,2010,13
HIDALGO,9.608707580812961,2010,14
JALISCO,12.358065468899275,2010,15
MICHOACÁN,9.945482130621581,2010,16
MORELOS,13.770911634094235,2010,17
NAYARIT,17.54922441442152,2010,18
NUEVO LEÓN,14.371537807635443,2010,19
OAXACA,17.42933303974741,2010,20
PUEBLA,9.98874157861483,2010,21
QUERÉTARO,10.593955000435024,2010,22
QUINTANA ROO,21.059888574767893,2010,23
SAN LUIS POTOSÍ,14.911104387069209,2010,24
SINALOA,16.423406497059386,2010,25
SONORA,13.0800500127952,2010,26
TABASCO,21.250413735757476,2010,27
TAMAULIPAS,16.95348482086926,2010,28
TLAXCALA,5.674591379093555,2010,29
VERACRUZ,17.1214112071785,2010,30
YUCATÁN,19.247176501617982,2010,31
ZACATECAS,7.3785882108348275,2010,32
AGUASCALIENTES,8.646860432427843,2011,1
BAJA CALIFORNIA,11.956484332015203,2011,2
BAJA CALIFORNIA SUR,15.621821449393124,2011,3
CAMPECHE,21.058519208242345,2011,4
CHIAPAS,18.300496613970093,2011,5
CHIHUAHUA,9.574294910667943,2011,6
