LON,LAT,EDO,CLAVE_SIH,ENE,,,,,
-92.755278,15.071111,CHIS,ENCRUCIJADA,0,,,,,
-92.829444,17.373056,CHIS,ESCALONCP,263.2,,,,,
-92.666667,15.316667,CHIS,ESCCP,6.71,,,,,
-92.67,15.33,CHIS,ESCUINTLA,0,,,,,
-93.125,16.975,CHIS,GRICP,6.2,,,,,
-92.402778,14.997222,CHIS,HUECP,3.41,,,,,
-92.472222,15.133333,CHIS,HUICP,30,,,,,
-92.471389,15.146944,CHIS,HUIXTLA,26.2,,,,,
-92.184722,14.626111,CHIS,ILRAYON,0,,,,,
-92.72,15.886111,CHIS,JALTENANGO,0.6,,,,,
-92.725,15.866667,CHIS,JAPCP,2,,,,,
-93.381389,17.364167,CHIS,JDGCP,223.1,,,,,
-92.898611,15.996389,CHIS,JSBCP,2.5,,,,,
-90.702222,16.580833,CHIS,LACCP,95.21,,,,,
-93.28,17.96,CHIS,MACAYOMI,0,,,,,
-93.598889,17.178611,CHIS,MALCP,84.62,,,,,
-92.883333,15.45,CHIS,MAPCP,40.02,,,,,
-92.0025,16.002222,CHIS,MOZCP,2,,,,,
-93.631667,16.493889,CHIS,NVAPALESTINA,0,,,,,
-93.150556,17.220556,CHIS,OCOCP,230.4,,,,,
-92.3375,16.851111,CHIS,OXCHUC,54,,,,,
-91.968056,15.848611,CHIS,PCOCP,3.61,,,,,
-93.458611,17.446111,CHIS,PENCP,156.7,,,,,
-93.216667,15.691667,CHIS,PIJCP,0,,,,,
-93.552778,17.348333,CHIS,RCACP,143.3,,,,,
-92.666667,15.916667,CHIS,REFCP,0.7,,,,,
-93.079167,16.158333,CHIS,REVCP,0,,,,,
-92.35,17.566667,CHIS,SAACP,219,,,,,
-93.741111,16.699722,CHIS,SANTALUCIAHM,2.8,,,,,
-93.383333,17.425,CHIS,SAYCP,219.4,,,,,
-92.633333,16.733333,CHIS,SCOCP,1.41,,,,,
-92.616667,16.741667,CHIS,SCRCP,2.16,,,,,
-92.105556,15.775,CHIS,SDOCP,0.01,,,,,
-92.321944,15.558056,CHIS,SILTEPEC,59.4,,,,,
-93.55,17.35,CHIS,SITALA,105.8,,,,,
-92.916667,17.5,CHIS,SJOTB,166.1,,,,,
-92.239444,15.775,CHIS,SMICP,0.42,,,,,
-92.820833,16.938889,CHIS,SNACP,73.8,,,,,
-92.266667,14.9,CHIS,TAMCP,5.5,,,,,
-92.183333,14.9,CHIS,TAPCP,0,,,,,
-93.383333,17.425,CHIS,TAPILULA,132.3,,,,,
-93.529167,15.875,CHIS,TPICP,0,,,,,
-93.1,16.761944,CHIS,TUXCP,0,,,,,
-93.133333,16.75,CHIS,TXOCP,0,,,,,
